country,brand_name,ther_area,hospital_rate,main_package,biological,small_molecule
COUNTRY_0024,BRAND_1143,Sensory_organs,0.0885496976322991,EYE DROP,False,True
COUNTRY_0024,BRAND_1865,Muscoskeletal_Rheumatology_and_Osteology,92.35982629641548,INJECTION,False,False
COUNTRY_0024,BRAND_240F,Antineoplastic_and_immunology,36.94400678705606,PILL,False,True
COUNTRY_0024,BRAND_2F6C,Antineoplastic_and_immunology,0.0063544122168699,INJECTION,True,False
COUNTRY_0024,BRAND_3A67,Nervous_system,,PILL,False,False
COUNTRY_0024,BRAND_3CB9,Antineoplastic_and_immunology,1.421185523626305,PILL,False,True
COUNTRY_0024,BRAND_3E0C,Antineoplastic_and_immunology,47.06338742730865,INJECTION,True,False
COUNTRY_0024,BRAND_41B7,Nervous_system,0.0217042658208487,PILL,False,True
COUNTRY_0024,BRAND_467B,Antineoplastic_and_immunology,0.0061993306198961,INJECTION,True,False
COUNTRY_0024,BRAND_4920,Endocrinology_and_Metabolic_Disease,0.8956771122275429,Others,True,False
COUNTRY_0024,BRAND_4A2D,Antineoplastic_and_immunology,28.442661196776,PILL,False,True
COUNTRY_0024,BRAND_50AA,Obstetrics_Gynaecology,0.0043435598742242,Others,False,True
COUNTRY_0024,BRAND_52CE,Antineoplastic_and_immunology,60.97861851682907,INJECTION,True,False
COUNTRY_0024,BRAND_562D,Obstetrics_Gynaecology,0.0095022911079671,PILL,False,True
COUNTRY_0024,BRAND_568F,Obstetrics_Gynaecology,0.0053545188756172,PILL,False,True
COUNTRY_0024,BRAND_6463,Antineoplastic_and_immunology,2.431990022604972,PILL,False,True
COUNTRY_0024,BRAND_64B8,Anti-infectives,53.92471071917827,INJECTION,False,True
COUNTRY_0024,BRAND_711D,Anti-infectives,,INJECTION,False,True
COUNTRY_0024,BRAND_72C6,Antineoplastic_and_immunology,0.0626615493068051,INJECTION,True,False
COUNTRY_0024,BRAND_748D,Respiratory_and_Immuno-inflammatory,0.1899451710408385,INHALER,False,True
COUNTRY_0024,BRAND_77F6,Antineoplastic_and_immunology,0.9636066420028976,PILL,False,True
COUNTRY_0024,BRAND_8CF3,Antineoplastic_and_immunology,0.3037352979190835,PILL,False,True
COUNTRY_0024,BRAND_93BF,Nervous_system,94.3178928247014,INJECTION,False,True
COUNTRY_0024,BRAND_9925,Antineoplastic_and_immunology,0.7662377977026323,PILL,False,True
COUNTRY_0024,BRAND_9EFF,Antineoplastic_and_immunology,0.2403323215894833,INJECTION,False,True
COUNTRY_0024,BRAND_A438,Endocrinology_and_Metabolic_Disease,2.811568575621354,Others,False,True
COUNTRY_0024,BRAND_A999,Anti-infectives,0.0692144163741527,PILL,False,True
COUNTRY_0024,BRAND_BA38,Nervous_system,0.0152129817444216,PILL,False,True
